										
						     0.32549      0.95686      0.25882				0
						      0.33812      0.95663      0.25882				0.01
						      0.35075      0.95639      0.25882				0.02
						      0.36337      0.95616      0.25882				0.03
						        0.376      0.95592      0.25882				0.04
						      0.38863      0.95569      0.25882				0.05
						      0.40125      0.95545      0.25882				0.06
						      0.41388      0.95522      0.25882				0.07
						      0.42651      0.95498      0.25882				0.08
						      0.43914      0.95475      0.25882				0.09
						      0.45176      0.95451      0.25882				0.1
						      0.46439      0.95427      0.25882				0.11
						      0.47702      0.95404      0.25882				0.12
						      0.48965       0.9538      0.25882				0.13
						      0.50227      0.95357      0.25882				0.14
						       0.5149      0.95333      0.25882				0.15
						      0.52753       0.9531      0.25882				0.16
						      0.54016      0.95286      0.25882				0.17
						      0.55278      0.95263      0.25882				0.18
						      0.56541      0.95239      0.25882				0.19
						      0.57804      0.95216      0.25882				0.2
						      0.59067      0.95192      0.25882				0.21
						      0.60329      0.95169      0.25882				0.22
						      0.61592      0.95145      0.25882				0.23
						      0.62855      0.95122      0.25882				0.24
						      0.64118      0.95098      0.25882				0.25
						       0.6538      0.95075      0.25882				0.26
						      0.66643      0.95051      0.25882				0.27
						      0.67906      0.95027      0.25882				0.28
						      0.69169      0.95004      0.25882				0.29
						      0.70431       0.9498      0.25882				0.3
						      0.71694      0.94957      0.25882				0.31
						      0.72957      0.94933      0.25882				0.32
						       0.7422       0.9491      0.25882				0.33
						      0.75482      0.94886      0.25882				0.34
						      0.76745      0.94863      0.25882				0.35
						      0.78008      0.94839      0.25882				0.36
						      0.79271      0.94816      0.25882				0.37
						      0.80533      0.94792      0.25882				0.38
						      0.81796      0.94769      0.25882				0.39
						      0.83059      0.94745      0.25882				0.4
						      0.84322      0.94722      0.25882				0.41
						      0.85584      0.94698      0.25882				0.42
						      0.86847      0.94675      0.25882				0.43
						       0.8811      0.94651      0.25882				0.44
						      0.89373      0.94627      0.25882				0.45
						      0.90635      0.94604      0.25882				0.46
						      0.91898       0.9458      0.25882				0.47
						      0.93161      0.94557      0.25882				0.48
						      0.94424      0.94533      0.25882				0.49
						      0.95686       0.9451      0.25882				0.5
						      0.95686      0.93137      0.25882				0.51
						      0.95686      0.91765      0.25882				0.52
						      0.95686      0.90392      0.25882				0.53
						      0.95686       0.8902      0.25882				0.54
						      0.95686      0.87647      0.25882				0.55
						      0.95686      0.86275      0.25882				0.56
						      0.95686      0.84902      0.25882				0.57
						      0.95686      0.83529      0.25882				0.58
						      0.95686      0.82157      0.25882				0.59
						      0.95686      0.80784      0.25882				0.6
						      0.95686      0.79412      0.25882				0.61
						      0.95686      0.78039      0.25882				0.62
						      0.95686      0.76667      0.25882				0.63
						      0.95686      0.75294      0.25882				0.64
						      0.95686      0.73922      0.25882				0.65
						      0.95686      0.72549      0.25882				0.66
						      0.95686      0.71176      0.25882				0.67
						      0.95686      0.69804      0.25882				0.68
						      0.95686      0.68431      0.25882				0.69
						      0.95686      0.67059      0.25882				0.7
						      0.95686      0.65686      0.25882				0.71
						      0.95686      0.64314      0.25882				0.72
						      0.95686      0.62941      0.25882				0.73
						      0.95686      0.61569      0.25882				0.74
						      0.95686      0.60196      0.25882				0.75
						      0.95686      0.58824      0.25882				0.76
						      0.95686      0.57451      0.25882				0.77
						      0.95686      0.56078      0.25882				0.78
						      0.95686      0.54706      0.25882				0.79
						      0.95686      0.53333      0.25882				0.8
						      0.95686      0.51961      0.25882				0.81
						      0.95686      0.50588      0.25882				0.82
						      0.95686      0.49216      0.25882				0.83
						      0.95686      0.47843      0.25882				0.84
						      0.95686      0.46471      0.25882				0.85
						      0.95686      0.45098      0.25882				0.86
						      0.95686      0.43725      0.25882				0.87
						      0.95686      0.42353      0.25882				0.88
						      0.95686       0.4098      0.25882				0.89
						      0.95686      0.39608      0.25882				0.9
						      0.95686      0.38235      0.25882				0.91
						      0.95686      0.36863      0.25882				0.92
						      0.95686       0.3549      0.25882				0.93
						      0.95686      0.34118      0.25882				0.94
						      0.95686      0.32745      0.25882				0.95
				groen		      0.95686      0.31373      0.25882				0.96
				^		      0.95686          0.3      0.25882				0.97
				|		      0.95686      0.28627      0.25882				0.98
				|		      0.95686      0.27255      0.25882				0.99
				rood		      0.95686      0.25882      0.25882				1
				bruin		       0.5451      0.27059      0.07451				1.01
				geel		      0.98824      0.94118     0.058824				1.02
				blue		      0.13333     0.058824      0.98824				1.03
				cyan		     0.058824      0.78824      0.98824				1.04
										
						Alle rgb waarden zijn gedeeld door 255 (je hebt een waarde tussen 0 en 1 nodig)				
